id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
135,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
136,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
137,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
138,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
139,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
140,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
141,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
142,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
143,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
144,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
145,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
146,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
147,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
148,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
149,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
150,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
151,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
152,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
153,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
154,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
155,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
156,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
157,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
158,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
159,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
160,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
161,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
162,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
163,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
164,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
165,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
166,Men Tshirts,5,black,round,printed,typography,short sleeves,,,,,
167,Men Tshirts,5,black,round,printed,typography,short sleeves,,,,,
168,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
169,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
170,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
171,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
172,Men Tshirts,5,multicolor,round,printed,typography,long sleeves,,,,,
173,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
174,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
175,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
176,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
177,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
178,Men Tshirts,5,multicolor,round,printed,default,long sleeves,,,,,
179,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
180,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
181,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
182,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
183,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
184,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
185,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
186,Men Tshirts,5,default,round,solid,solid,long sleeves,,,,,
187,Men Tshirts,5,multicolor,round,printed,default,long sleeves,,,,,
188,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
189,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
190,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
191,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
192,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
193,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
194,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
195,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
196,Men Tshirts,5,,round,printed,default,long sleeves,,,,,
197,Men Tshirts,5,white,round,printed,default,long sleeves,,,,,
198,Men Tshirts,5,white,round,printed,default,long sleeves,,,,,
199,Men Tshirts,5,multicolor,round,printed,default,long sleeves,,,,,
200,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
201,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
202,Men Tshirts,5,multicolor,round,printed,default,long sleeves,,,,,
203,Men Tshirts,5,black,round,solid,solid,short sleeves,,,,,
204,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
205,Men Tshirts,5,multicolor,polo,printed,default,short sleeves,,,,,
206,Men Tshirts,5,multicolor,polo,printed,default,short sleeves,,,,,
207,Men Tshirts,5,multicolor,polo,printed,default,short sleeves,,,,,
208,Men Tshirts,5,multicolor,polo,printed,default,short sleeves,,,,,
209,Men Tshirts,5,multicolor,polo,solid,default,short sleeves,,,,,
210,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
211,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
212,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
213,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
214,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
215,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
216,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
217,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
218,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
219,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
220,Men Tshirts,5,black,round,printed,typography,long sleeves,,,,,
221,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
222,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
223,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
224,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
225,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
226,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
227,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
228,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
229,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
230,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
231,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
232,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
233,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
234,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
235,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
236,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
237,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
238,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
239,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
240,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
241,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
242,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
243,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
244,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
245,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
246,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
247,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
248,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
249,Men Tshirts,5,default,round,printed,typography,long sleeves,,,,,
250,Men Tshirts,5,default,round,printed,default,long sleeves,,,,,
251,Men Tshirts,5,black,round,printed,default,long sleeves,,,,,
252,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
253,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
254,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
255,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
256,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
257,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
258,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
259,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
261,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
262,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
263,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
264,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
265,Men Tshirts,5,multicolor,round,printed,default,long sleeves,,,,,
266,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
267,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
268,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
269,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
270,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
272,Men Tshirts,5,multicolor,round,printed,solid,short sleeves,,,,,
273,Men Tshirts,5,default,polo,solid,default,short sleeves,,,,,
274,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
275,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
276,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
277,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
278,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
279,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
280,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
281,Men Tshirts,5,black,round,printed,typography,short sleeves,,,,,
282,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
283,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
284,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
285,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
286,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
287,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
288,Men Tshirts,5,black,round,printed,default,long sleeves,,,,,
289,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
290,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
291,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
292,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
293,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
294,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
295,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
296,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
297,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
298,Men Tshirts,5,white,round,solid,solid,short sleeves,,,,,
299,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
300,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
301,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
302,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
303,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
304,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
305,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
306,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
307,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
308,Men Tshirts,5,black,round,solid,solid,short sleeves,,,,,
309,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
310,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
311,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
312,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
313,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
314,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
315,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
316,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
317,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
318,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
319,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
320,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
321,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
322,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
323,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
324,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
325,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
326,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
327,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
328,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
329,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
330,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
331,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
332,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
333,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
334,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
335,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
336,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
337,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
338,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
339,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
340,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
341,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
342,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
343,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
344,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
345,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
346,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
347,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
348,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
349,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
350,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
351,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
352,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
353,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
354,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
355,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
356,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
357,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
358,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
359,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
360,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
361,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
362,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
363,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
364,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
365,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
366,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
367,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
368,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
369,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
370,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
371,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
372,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
373,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
374,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
375,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
376,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
377,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
378,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
379,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
380,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
381,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
382,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
383,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
384,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
386,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
387,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
388,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
389,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
390,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
391,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
392,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
393,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
394,Men Tshirts,5,multicolor,round,printed,default,long sleeves,,,,,
395,Men Tshirts,5,white,round,printed,default,long sleeves,,,,,
396,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
397,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
398,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
399,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
400,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
401,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
402,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
403,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
404,Men Tshirts,5,multicolor,polo,printed,default,short sleeves,,,,,
405,Men Tshirts,5,black,round,printed,typography,long sleeves,,,,,
